SMILES,Run,Ligand,gasa,QED,caco2,MDCK,PPB,logVDss,Fu,LM-human,cl-plasma,DILI,Nephrotoxicity-DI,Neurotoxicity-DI,Hematotoxicity,A549
O=C1O[C@H](/C=C/[N@H+]2C[C@H]([C@H]3CCC[C@H]3O)[N@@H+](/C([O-])=C3\[C@H]4C[C@@H]5[C@H](C4)[C@H]35)N2)c2ccccc21,4,ligand_10,1,0.495,-4.86552258,-4.786383776,72.97645687,0.08370600359,26.80472678,0.9589934349,6.582467067,0.9399927258,0.9534730315,0.2148228437,0.8903828859,0.9075969458
C=C1CC[C@H](N2[C@H](C)CCN2[C@]2(F)CCC2(F)F)C[C@@H]1[N-]C(=O)C[C@H]1OC(=O)c2ccccc21,4,ligand_11,1,0.39,-4.934496832,-4.610267226,73.57189118,0.258393227,25.29411288,0.9908176661,5.86702539,0.2901445031,0.8119436502,0.9421740174,0.03196404874,0.3317556977
N#C[C@@H]1CCC[C@@H]1[C@H]1C[N@@H+](/C=C/[C@H]2OC(=O)c3ccccc32)N[N@@H+]1/C(O)=C1\[C@H]2C[C@@H]3[C@H](C2)[C@H]13,4,ligand_15,1,0.539,-4.899575485,-4.682549976,80.08526188,-0.04167601279,13.20392866,0.9686620831,4.739682644,0.9730966687,0.7878423929,0.2570879757,0.4233367741,0.7054518461
C=C1CCC[C@@H]2C[C@@H](C(=O)Nc3cc(-n4c[nH+]nn4)cc4ccccc34)OC(=O)[C@@H]12,4,ligand_16,1,0.533,-4.875796084,-4.740719454,96.48282999,-0.2738343901,3.581783084,0.7358586788,2.134447696,0.9807418585,0.9836680293,0.9618990421,0.5540344715,0.37631616
C=c1ccc2c(c1)C[C@](C)([C@@H]1[NH2+]CCc3ccc(CNC(O)=C4CC(C#N)C4)cc31)OC=2O,4,ligand_20,1,0.543,-5.726716442,-5.08765542,73.16006647,0.05863076614,14.17808611,0.7793021798,1.380686553,0.9778496027,0.899001658,0.4933924973,0.1595880985,0.002524708631
O=C1O[C@H](/C=C/[N@H+]2C[C@H]([C@H]3CCC[C@H]3O)[N@@H+](/C(O)=C3\[C@H]4C[C@@H]5[C@H](C4)[C@H]35)N2)c2ccccc21,4,ligand_23,1,0.495,-4.86552258,-4.786383776,72.97645687,0.08370600359,26.80472678,0.9589934349,6.582467067,0.9399927258,0.9534730315,0.2148228437,0.8903828859,0.9075969458
O=C1O[C@@H](/C(O)=N\[C@H]2CCC[C@]3(n4c[nH+]nn4)CCCC[C@@H]23)Cc2ccccc21,4,ligand_24,1,0.487,-5.075971534,-4.87494123,91.89461663,-0.3272833971,9.170450916,0.04020088911,2.749757081,0.989043057,0.8298377991,0.07903631032,0.439248085,0.02364759892
O=C1O[C@H](/C=C/[N@@H+]2C[C@H]([C@H]3CCC[C@H]3O)N(/C([O-])=C3\[C@H]4C[C@@H]5[C@H](C4)[C@H]35)N2)c2ccccc21,4,ligand_25,1,0.495,-4.86552258,-4.786383776,72.97645687,0.08370600359,26.80472678,0.9589934349,6.582467067,0.9399927258,0.9534730315,0.2148228437,0.8903828859,0.9075969458
C[C@@]1([C@@H]2NCCc3ccc(C[N-]C(=O)[C@H]4C[C@@H](C#N)C4)cc32)Cc2ccccc2C(=O)O1,4,ligand_31,1,0.729,-4.986295131,-4.702904051,53.14955863,0.03502274107,47.94966334,0.903798759,2.739385048,0.5695239902,0.9685432315,0.7892565727,0.07568351924,0.064402394
C[C@]1(C(=O)[N-][C@H]2CCC[C@H]3CCCC[C@]32n2c[nH+]nn2)Cc2ccccc2C(=O)O1,4,ligand_32,0,0.782,-4.855196835,-4.824032828,92.63719285,-0.001103483102,7.360695289,0.7798701525,2.686612651,0.8484443426,0.8027342558,0.3212712407,0.2978492379,0.1316514611
